B1,B2,B3,B4,B5,R1,R2,R3,R4,R5,winner
122,62,38,119,43,240,120,26,222,40,1
240,9,238,29,40,875,56,777,22,101,1
78,107,517,21,101,8,141,161,15,432,0
166,20,103,498,117,240,876,55,360,555,1
240,30,127,15,44,92,121,90,147,99,0
98,245,69,15,117,240,102,112,360,235,1
164,107,142,221,350,240,120,103,15,412,1
102,154,103,81,16,240,200,50,15,117,1
266,120,103,29,497,240,78,517,51,101,1
78,5,112,119,117,240,141,103,67,555,0
516,35,517,67,142,240,104,103,81,40,1
114,121,142,15,40,133,120,517,21,432,1
27,104,55,15,40,516,5,157,145,26,0
6,107,517,15,111,240,64,163,222,117,0
8,48,777,15,117,131,24,99,236,40,0
240,121,238,45,888,164,72,34,96,117,1
122,30,26,18,89,240,9,777,96,117,1
240,131,142,236,43,10,60,157,27,350,0
10,28,92,81,40,62,141,777,30,267,1
8,59,517,202,350,122,64,127,29,43,1
24,120,142,360,63,58,141,517,29,147,0
24,62,55,30,22,92,59,110,29,40,1
2,711,141,15,16,122,120,103,222,43,1
62,11,38,30,37,39,9,75,67,497,1
164,64,8,29,223,266,234,711,15,26,0
203,58,68,15,32,114,107,517,145,555,0
887,2,75,202,412,240,131,157,30,22,0
114,11,30,18,26,92,121,10,222,350,0
2,19,166,30,22,777,20,10,18,40,1
98,20,75,21,44,777,33,36,360,111,0
266,48,238,29,350,10,154,127,202,117,1
266,9,8,18,412,38,104,268,81,518,1
887,121,45,15,117,266,104,142,429,40,0
92,104,163,119,555,240,64,777,115,147,1
86,48,75,81,117,266,91,69,15,40,1
266,104,84,22,16,10,20,246,30,117,1
266,20,103,222,888,126,107,72,50,235,1
266,421,163,222,117,240,30,26,51,432,1
122,777,887,21,40,266,121,234,30,235,1
114,2,31,15,9,266,20,777,147,44,1
82,5,127,498,117,122,421,55,523,16,0
8,81,101,5,41,55,62,92,15,555,1
201,60,112,202,114,157,120,268,498,497,1
133,131,90,222,201,60,59,8,29,117,0
517,104,38,22,43,62,203,39,63,32,1
2,876,8,202,29,516,245,157,145,235,1
875,62,8,15,888,58,82,238,63,267,0
38,19,41,18,63,101,76,114,15,22,0
420,203,30,22,111,266,76,43,29,117,0
516,131,157,15,497,887,107,17,29,117,0
84,154,238,221,16,41,113,42,22,57,1
98,11,8,523,16,24,91,517,22,63,1
114,35,777,145,63,166,48,50,15,9,1
516,104,43,29,432,10,203,45,429,40,0
2,20,103,222,117,8,59,75,29,40,1
266,421,268,147,350,164,91,127,29,117,0
84,59,127,29,117,24,238,43,30,22,1
516,104,245,96,117,122,59,238,895,40,1
84,238,112,81,117,86,64,163,29,267,1
84,121,127,29,497,266,876,91,15,117,0
2,121,163,29,21,106,35,84,51,235,0
2,121,96,8,22,62,141,84,15,117,1
223,141,221,42,350,266,163,166,81,22,1
84,2,75,145,53,92,141,7,30,89,0
895,28,238,29,117,11,41,166,221,40,0
875,104,99,21,40,126,421,84,67,555,1
122,141,39,21,32,777,77,105,15,888,0
122,154,38,429,32,268,20,126,145,44,0
114,154,157,15,555,24,20,50,895,497,1
72,9,84,21,497,777,60,3,119,32,0
77,74,58,15,43,777,11,21,30,143,0
75,141,777,51,432,164,154,3,22,350,0
83,421,711,22,432,122,121,110,15,40,0
266,20,517,202,350,164,107,268,51,25,1
98,62,517,51,25,114,107,119,61,117,0
62,200,61,15,350,2,203,517,81,497,0
2,121,517,119,32,114,9,777,81,432,0
75,78,517,119,350,24,113,55,51,555,0
79,121,69,22,15,82,142,238,421,80,0
82,421,777,15,117,48,222,3,67,43,1
19,154,157,6,117,67,60,142,21,26,1
6,421,112,96,117,24,154,39,360,32,0
58,113,8,29,117,6,246,268,15,350,0
8,234,103,236,40,126,56,38,30,6,0
777,234,103,161,32,122,141,30,4,235,0
166,9,517,523,117,6,30,142,203,43,0
6,20,238,222,43,67,30,142,360,40,1
58,154,268,119,16,6,121,518,96,40,1
86,234,10,30,497,102,9,157,29,350,0
75,876,39,67,111,102,203,74,15,29,1
114,876,74,96,888,875,64,221,222,117,1
6,876,55,145,44,221,234,4,15,43,0
10,234,136,15,432,6,876,44,21,112,0
157,154,3,429,9,895,120,84,145,432,0
84,121,895,50,26,98,48,238,67,888,0
114,131,157,29,63,58,104,147,81,555,0
36,64,112,119,111,62,238,31,29,888,1
875,876,103,360,412,516,107,84,15,43,1
86,876,777,34,235,887,2,166,81,555,0
122,76,157,21,43,114,154,163,81,117,1
876,79,157,21,40,777,203,103,119,43,1
240,62,157,161,267,154,150,53,145,39,0
84,59,42,145,53,234,17,101,21,267,0
420,64,517,145,555,122,234,38,29,89,0
122,121,131,145,350,84,62,157,15,43,0
14,72,8,21,43,58,163,142,15,117,0
122,30,26,18,89,240,9,777,96,117,1
39,154,238,30,22,518,15,111,141,517,0
240,245,103,81,350,266,2,69,29,99,0
98,107,99,30,235,62,245,517,145,89,1
14,104,55,119,888,157,62,84,360,111,1
24,157,131,67,53,92,48,127,429,43,1
24,234,711,202,412,122,517,238,18,350,1
114,141,75,21,43,266,69,91,147,25,0
266,245,238,145,89,84,421,75,81,22,0
127,64,163,21,89,58,48,69,81,43,0
777,131,38,895,12,24,141,43,67,888,1
777,421,517,119,117,166,107,84,30,53,1
98,876,8,157,412,20,41,25,67,43,0
86,238,517,221,12,240,32,711,51,53,0
122,203,101,21,37,113,11,42,55,432,1
86,11,711,96,267,98,24,777,74,44,1
24,238,8,21,147,19,11,127,236,43,1
82,11,117,202,45,166,121,268,81,497,1
77,64,517,29,350,875,11,90,22,235,1
875,11,3,29,267,164,64,711,67,350,1
92,11,157,30,40,24,131,142,895,44,0
48,91,84,22,43,77,32,268,145,111,0
164,121,517,29,888,114,91,157,30,44,1
14,78,517,21,80,84,11,268,145,555,0
164,11,268,15,497,777,120,103,202,412,0
166,120,103,15,888,266,11,517,21,43,1
131,11,8,147,40,77,106,238,51,101,0
122,11,38,202,888,92,35,43,81,26,0
84,11,157,202,350,41,64,268,22,117,0
114,11,238,115,22,164,141,105,21,43,1
113,20,8,67,21,24,11,103,15,117,1
238,11,147,15,412,266,131,432,18,101,0
8,104,238,50,555,266,11,105,202,412,1
85,245,238,15,40,164,11,8,360,44,0
19,48,103,22,63,82,64,38,15,40,0
166,121,142,67,22,8,77,15,74,350,1
92,28,90,498,53,164,5,39,101,142,1
164,121,8,29,117,92,141,90,81,350,1
14,131,13,145,117,164,163,112,15,16,0
83,254,90,15,40,266,62,268,145,555,0
133,131,90,222,201,60,59,8,29,117,0
83,203,517,96,117,98,154,90,429,44,1
164,62,38,145,40,78,121,90,81,26,1
114,141,268,21,147,126,59,90,236,267,1
98,245,157,67,63,122,106,517,51,32,0
92,5,777,145,117,98,121,13,15,147,1
98,131,157,21,526,875,48,517,15,350,0
58,59,90,203,44,78,9,110,15,267,0
887,131,777,18,111,10,154,50,15,40,0
106,141,69,81,518,2,117,517,15,92,1
164,62,142,147,40,58,32,166,30,497,0
10,78,34,147,22,98,104,38,15,350,1
114,104,517,21,432,62,20,90,119,53,1
887,238,58,29,43,154,141,157,147,267,1
122,121,84,51,267,82,64,38,498,412,1
98,120,267,236,142,164,2,110,523,16,0
164,200,142,145,526,77,80,517,15,89,0
79,48,234,429,111,17,62,50,221,43,0
122,154,166,236,267,102,120,55,96,117,1
122,154,42,145,111,82,131,166,119,43,1
98,245,69,15,117,240,102,112,360,235,1
48,200,55,895,412,113,121,711,145,223,0
10,30,238,15,40,516,234,517,29,43,1
8,141,157,221,117,41,28,238,29,43,1
240,163,234,498,111,62,107,360,99,32,0
39,876,55,18,555,77,142,62,523,22,0
